[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Ho-Oh	Female	Fenhuang	Estrus	P13225966	??/??/????	WOL, Mystery Continent	Sky Guard Leader	Bi	Sub	Bottom	320	144	115	Kyma #f69b16	Cindy Robinson/Miyuki Sawashiro	Somewhat vain	ESFJ	Lugias, Meganiums, Sex	Shadows, Cipher, Ho-Ohs		110	130	95	110	155	90	92	Fire Flying	Poison	Hasty	Gold Erhu: Triggers War Haze when played. ~ Sacred Ash (23): Can only be used by Ho-Oh and Lugia, fully Revives Pokemon ~ Clear Bell: +50% HP if held by Ho-Oh	Sacred Fire (100/AT/Fire) 50% Burn chance ~ Recover (Normal) Heals 50% HP ~ Defog (Flying) Removes weather and field hazards ~ Brave Bird (130/AT/Flying) 33% Recoil	Phoenix Shine (Fire) Requires War Haze, fully revives user if fainted	Regenerator: Heals 33% HP when switching out	Notorious Restoration: Items restore more HP and Belly.	War Haze: +1 AT and SA every turn	Don't expect to be able to leave her wounded while focusing on something else, she recovers in seconds.	Can't handle too much pressure.	Brother: Ryuujin Estrus
Igglybuff Jigglypuff Wigglytuff	Male			P81438841	15/01/1991																								Water	Modest	Heart Scale (22): Temporarily turns one foe friendly ~ 	Sing ~ Rest ~ Sleep Talk ~ 			Blast Control: Damage the team takes from explosions is reduced. 	None			
Jangmo-o Hakamo-o Kommo-o	Male			P63665378	16/01/1984																								Fire	Brave	Kommonium Z: Turns Clanging Scales into Clangorous Soulblaze	Clanging Scales ~ Clangorous Soul			Narrow Focus: Moves used in corridors will never miss. 	None			
Jirachi	Female			P95478305	27/02/2009																								Fighting	Modest	Jirachium Z: Turns Doom Desire into Shining Shooting Star	Doom Desire			Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Nitrogen Gene: 2X AC			
Joltik Galvantula	Male			P13722937	12/08/1977																								Steel	Timid	Bright Powder: Lowers foe's AC	Electroweb			Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Joltik Galvantula	Female			P63046529	11/08/2006																								Ice	Bashful	Air Balloon: Immunity to Ground type moves, pops if hit	Electroweb			Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Kartana	Unknown			P84265650	23/03/1971																								Steel	Impish	Ring Target: Holder loses type immunities				Squeeze Out: The whole team can squeeze extra PP once per battle.	None			
Keldeo	Male	Lewis	Kelpie	H52656156	11/01/2007	WOD, UK, Scotland, Edinburgh	Swords Of Justice Leader	Bi	Sub	Top	137	42	60	Helvetica Neue #6de7e9	Landon McDonald/Atsushi Abe	Highly curious	ENFJ	Pokemon, Tengoku, Swords Of Justice	Tensei, Fainting, Sleeping		91	71	91	131	91	111	99	Water Fighting	Fairy	Naive	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape ~ Justice Emblem: Allows the holder to perform Team Attacks when alone, by summoning another Pokemon's spirit. ~ Resokelium Z: Turns Secret Sword into Buster Sword	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Secret Sword (85/SA/Fighting) Uses foe's DF instead of SD ~ Scald (80/SA/Water) 30% Burn chance ~ Hydro Pump (110/SA/Water)	One For All (Fighting) Doubles power of moves with Sword in the name	Justified: +1 AT if hit by Dark move	Funnel Fun: Corridors restore HP faster.	Resolution: Form Change Enlightenment	Unstoppable with other Swords Of Justice, Dark types don't have any chance against him.	Copying what he does seems to throw him off hard.	Crush: Mocha Otonanou
Kyogre	Male	Leviathan	Mikado	P11020341	??/??/????	WOL, Mystery Continent	Weather Guard Leader	Hetero	Dom	Top	488	360	87	Classica #0935c8	Peter Beckman/Kenta Miyake	Very finicky	ESTP	Unknown	Unknown		100	100	90	150	140	90	91	Water	Ice	Quirky	Blue Orb: Grants Primal Reversion ~ Aqua Monica: +1 SA and SP when held by Kyogre	Origin Pulse (110/SA/Water) ~ Liquidation (85/AT/Water) 20% chance -1 DF to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Water Spout (150/SA/Water) Lower HP Decreases Power	Torrential Flood (400/SA/Water Electric Ice) 1 turn charge, three types at once	Drizzle: Triggers Rain Dance	Small Stomach: Anyone in the team can fill up their belly with any food.	Primal Reversion: Form Change Enlightenment	A Primal Kyogre using Torrential Flood is probably the last thing you will see.	Rayquaza and other Flying type sweepers.	"Broo": Behemoth Mikado ~ Rival: Ziz Mikado
Kyurem	Unknown	Wuji	Zettairedo	P87437405	??/??/????	WOL, Mystery Continent	Mystery Continent Dungeon Keeper	Unknown	Unknown	Unknown	301	324	132	Bodoni #8db8dd	Dave Fennoy/Mitsuru Ogata	Likes to trash about	INFJ	Unknown	Unknown		130	135	90	130	90	95	99	Dragon Ice	Dragon	Brave	DNA Splicer: A wedge that can fuse a Kyurem with a Reshiram or a Zekrom. ~ God Stone: Reverts Kyurem to God Orb, making it unable to move, but immune to damage	Glaciate (65/SA/Ice) -1 SP to foe ~ Scary Face (Normal) -2 SP to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Roost (Flying) Heals 50% HP, removes Levitate	Frozen Blood (Ice) 50% OHKO chance	Pressure: Foes use 2X PP	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Fusion: Form Change Enlightenment	If fused with a Reshiram or Zekrom, Wuji becomes a black hole of heroics, you will freeze both in body and spirit.	Splicing him apart usually gets him destroyed by said Reshiram or Zekrom.	Rivals: Shiro Ryuumouto, Kuro Ryuuniki
Lapras	Female			P27328982	05/08/1970																								Normal	Calm	Float Stone: Halves weight of holder				Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Larvesta Volcarona	Female			P67755572	01/10/1981																								Grass	Jolly	Destiny Knot: Reflects Infatuation	Fiery Dance (kirbu?)			Blast Control: Damage the team takes from explosions is reduced. 	None			
Larvitar Pupitar Tyranitar	Male			P72793150	06/03/2004																								Water	Rash	Tyranitarite: Triggers Megaevolution				Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Megaevolution: Form Change Enlightenment			
Latias	Female	Floras	Overfield	H15067769	15/06/2000	WOD, Italy, Lombardy, Monza	Unknown	Bi	Sub	Bottom	129	33	64	Onryu #ebbe1d	Lisa Ortiz/Kazuna Sayaka	Impetuous and silly	INFP	Nothing: Generated AI	Nothing: Generated AI		70	90	100	110	130	150	12	Dragon Psychic Fire	Flying	Bashful	Roselily: A parting gift. Grants Immunity to Insane ~ Latiasite: Grants Megaevolution ~ Latiosite: Grants Megaevolution	Calm Mind (Psychic) +1 SA and SD ~ Mist Ball (70/SA/Psychic) 50% Chance -1 SA to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	Burnout (200/SA/Fire) Burns user, foes, and even teammates	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment	Would have been unstoppable with any Latios as teammate...	...If she ever existed.	Boyfriend: Flaros Overfield
Latios	Male	Flaros	Overfield	H95287268	09/09/1998	WOD, Italy, Lombardy, Pavia	Haruna Fujisancho Administrator	Bi	Dom	Top	211	64	66	Hakidame #1100f5	Steven Ogg/Take Tora	Alert to sounds	INTP	Friends, Affection, Games	Himself, Himself, Himself		70	100	90	130	110	150	14	Dragon Psychic Fire	Flying	Docile	Soul Dew: Boosts Dragon and Psychic moves if held by Latias or Latios ~ Eon Flute: +2 SP if held by Latias or Latios ~ Enigma Stone: +50% HP if held by Latias or Latios	Calm Mind (Psychic) +1 SA and SD ~ Luster Purge (70/SA/Psychic) 50% Chance -1 SD to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	Burnout (200/SA/Fire) Burns user, foes, and even teammates	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment	Would have been unstoppable with any Latias as teammate...	...If he wasn't completely mindbroken.	Lie: Floras Overfield ~ Trainer: Jiyu Einni ~ Friends: Matilde Quemar, Nirvana Moksha, Cefca Pagliaccio
Lillipup Herdier Stoutland	Male			P11155524	05/02/1993																								Fairy	Naughty	Normalium Z: Turns a Normal move into Breakneck Blitz ~ Silk Scarf: Boosts Normal moves				Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Litten Torracat Incineroar	Female			P40573995	11/01/2007																								Rock	Naughty	Incinium Z: Turns Darkest Lariat into Malicious Moonsault	Darkest Lariat			Link Boost: The power of linked moves is boosted.	None			
Litwick Lampent Chandelure	Male			H13132009	20/11/1979																								Electric	Careful	Glass Case: Grants Immunity to Water type				Forge a Path: Consumes Belly to break down walls.	None			
Lugia	Male	Ryuujin	Estrus	P22204428	??/??/????	WOL, Mystery Continent	Ocean Guard Leader	Bi	Dom	Top	600	341	204	Criticized #a8bde2	Christopher Bevins/Toru Okawa	Somewhat stubborn	ESFP	Ho-Ohs, Typhlosions, Sex	Shadows, Cipher, Lugias		105	90	130	90	155	110	92	Psychic Flying	Poison	Naive	Silver Koto: Triggers War Mist when played. ~ Sacred Ash (23): Can only be used by Ho-Oh and Lugia, fully Revives Pokemon ~ Tidal Bell: +50% HP if held by Lugia	Aeroblast (100/SA/Flying) +1 Crit chance ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Dragon Tail (60/AT/Dragon) Forces foe to switch places ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Whale Darkness (Water) Requires War Mist, removes and blocks all healing, reviving, and buffs	Multiscale: -50% damage at full HP	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	War Mist: +1 DF and SD every turn	Makes you wonder how it is possible you feel less bulky around him.	Once you figure out his tricks, they're easy to avoid.	Sister: Fenhuang Estrus
Lunala	Female	Peahina	Houkuu	P33139627	??/??/????	WOL, Mystery Continent	Ultra Wormhole Guard Leader	Hetero	Sub	Bottom	395	117	100	Sabor #6434c4	Xanthe Huynh/Ai Kayano	Thoroughly cunning	ISFJ	Kyogres, Necrozmas, Nights	Solgaleos, Space, Ultra Beasts		137	117	87	137	107	97	96	Psychic Ghost Ice	Dark	Rash	N-Solarizer: A machine to separate a Necrozma from a Solgaleo. ~ Lunalium Z: Turns Moongeist Beam into Menacing Moonraze Maelstrom ~ Moon Flute: +2 SP if held by Lunala	Moongeist Beam (100/SA/Ghost) Ignores abilities ~ Psyshock (80/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Moonblast (95/SA/Fairy) 30% chance -1 SA to foe	Lunar Eclipse (Psychic) Requires Solar Eclipse in same turn, Heals 50% HP per turn	Shadow Shield: -50% damage at full HP	Collective Strike: All teammates have the same speed stat as the fastest teammate.	Full Moon: Form Change Enlightenment	Very powerful moveset, can easily ignore her subpar typing.	Could do better with a Solgaleo teammate, which she hates.	Brother: Lailona Houkuu ~ Friend: Cavum Nirum
Mareep Flaaffy Ampharos	Male			P92037653	24/09/1985																								Electric	Hardy	Ampharosite: Triggers Megaevolution ~ Connection Orb: Scans a Pokemon's connections ~ Golden Looplet: Holds Emeras				Tight Formation: The more team members, the lower the damage from wide-ranging moves.	Megaevolution: Form Change Enlightenment			
Mareep Flaaffy Ampharos	Female			H58051660	14/05/1972																								Ground	Docile	Ampharosite: Triggers Megaevolution ~ Choice Ribbon: +1 Crit, but can only choose one move ~ Secret Potion (3): Can only be used by Ampharos, fully Revives Pokemon				Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Megaevolution: Form Change Enlightenment			
Marshadow	Male	Jake	Northstar	P96433531	26/01/2006	WOD, USA, Illinois, Chicago	Martial Arts Training Chief	Unknown	Sub	Bottom	60	22	???	Samdan #262c29	Zach Galiflanakis/Takehito Koyasu	Likes to run	ISTP	Nuricom Alliance, Fighting, Anime	Ghost Types, Fighting Types, Normal Types		90	120	90	90	90	120	100	Fighting Ghost	Electric	Lonely	Life Orb: Drains HP to power up moves. ~ Black Belt: Boosts Fighting Moves ~ Marshadium Z: Turns Spectral Thief into Soul Stealing 7 Star Strike	Spectral Thief (90/AT/Ghost) Steals foe's boosts ~ Close Combat (120/AT/Fighting) -1 SD ~ Shadow Sneak (40/AT/Ghost) +1 Priority ~ Phantom Hand (Ghost) Foe can't move the next turn	Rending Fists (50/AT/Ghost) Hits ? times, causes Flinching	Technician: Moves below 60 power do 50% extra damage	PP Siphon: Drains PP from an enemy.	Zenith: Form Change Enlightenment	Powerful alone, powerful in a team, trained by Codd to be a fantastic martial artist, passing down the art of leading to aspiring explorers.	Not the best reaction times, and kinda frail.	Mentor: Codd Branford ~ Friend: Zephyr Edda
Mawile	Female			P96487310	26/10/1998																								Water	Sassy	Mawilite: Triggers Megaevolution				Squeeze Out: The whole team can squeeze extra PP once per battle.	Megaevolution: Form Change Enlightenment			
Meditite Medicham	Female			P14564578	28/01/2004																								Water	Quirky	Bounce Band: Bounces thrown items back to foe				Narrow Focus: Moves used in corridors will never miss. 	Megaevolution: Form Change Enlightenment			
Meloetta	Female			P80867638	04/04/1979																								Flying	Sassy	Heart Pendant: Boosts HP by 50%	Relic Song			Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Reliquia: Form Change Enlightenment			
Mew	Both?	Libidine	Ludibrium	P14378192	07/09/1164	WOL, Unknown	Geneticist	Bi	Switch	Switch	36	3	???	MV Boli #e79cd1	Marieve Herington/Aoi Yuuki	Loves to eat	ESFP	Sex, Genetics, Eating	Being asked by someone to change gender		100	100	100	100	100	100	99	Psychic	Fairy	Quirky	Mewnium Z: Turns Psychic into Genesis Supernova. ~ Leftovers: Slowly restores HP. ~ White Cornet: +1 to all stats if held by Mew	Transform (Normal) Turns into clone of the foe ~ Psychokinesis (100/???/Psychic) Uses AT or SA based on foe's stats ~ Future Sight (120/SA/Psychic) Hits the next turn ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Boring! (Parry/Psychic) Immune to damage, copies move with 4X damage 	Synchro Bounce: Reflects stat debuffs and status conditions	Reality Bending: Teammates's moves always hit regardless of distance or accuracy.	Mugenono: Nullifies Mugen Genes	An absolutely adorable and absolutely terrifying esper. Instead of lifting you, they will lift the continent below you.	Can get lazy and pessimist in the most dire situations.	Friend: Cavum Nirum ~ Pupils: Myuuichi Jikken, Myuurei Jikken
Mewtwo	Female	Myuuichi	Jikken	P21773830	26/03/2020	WOD, Unknown	Gene Tester	Hetero	Sub	Bottom	200	122	???	Galaxy #7b3fac	Brittney Lee Harvey/Yukana Nogami	Likes to fight	ESTJ	Fighting, Training, Special Moves	Physical Moves, Ghosts, Humans		100	120	120	140	140	100	96	Psychic Fairy	Rock	Mild	Mewtwonite Y: Grants Megaevolution Y ~ Twisted Spoon: Boosts Psychic moves	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Moon Cannon (150/SA/Fairy) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves, items, and PP restoration	Pressure: Foes use 2X PP	Link Boost: The power of linked moves is boosted.	Oxygen Gene: 2X DF	Trained by Libidine to be a disorienting special powerhouse.	Scared of ghosts?	Mentor: Libidine Ludibrium ~ Brother: Myuurei Jikken
Mewtwo	Male	Myuurei	Jikken	P61543177	26/03/2020	WOD, Unknown	Gene Tester	Hetero	Dom	Top	200	122	???	Fusion #644380	Erik Kimerer/Masaya Fukunishi	Hates to lose	ENTP	Fighting, Training, Physical Moves	Special Moves, Ghosts, Humans		100	140	140	120	120	100	96	Psychic Fighting	Ground	Naughty	Mewtwonite X: Grants Megaevolution X ~ Twisted Spoon: Boosts Psychic moves	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Solar Strike (150/AT/Fighting) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves, items, and PP restoration	Unnerve: Foes can't use items	Link Boost: The power of linked moves is boosted.	Neon Gene: 2X SD	Trained by Libidine to be a disorienting physical powerhouse.	Scared of ghosts?	Mentor: Libidine Ludibrium ~ Sister: Myuuichi Jikken
Mienfoo Mienshao	Female	Sheng	Zhandou	H37472737	08/12/1984	WOD, China, Hebei, Beijing	Vice-President of Nuricom Alliance	Hetero	Switch	Bottom	138	31	40	Parmapetit #f3f1a3	Jessica D. Stone/Makoto Tsumura	A little quick tempered	ENTJ	Codd, Fighting, Nuricom Alliance	Codd, Fighting, Nuricom Alliance		60	130	60	90	60	110	84	Fighting 	Fighting	Bashful	Fightinium Z: Turns a Fighting move into All Out Pummeling	High Jump Kick (130/AT/Fighting) 50% Recoil if it misses ~ Fake Out (50/AT/Normal) Causes flinch, first turn only ~ Sleeve Kiai (Parry/Fighting) If hit, causes Confusion ~ Reversal (200/AT/Fighting)  Higher HP decreases power	Soaring Wind Fist (100/AT/Fighting) Hits 3 times, foe flies 1 turn, -1 SA and SD	Reckless: Recoil moves do 25% extra damage	Recoil Boost: Moves that recoil do 2X damage.	Iron Gene: 2X SP	If she parries one of your moves, it's time to think about how many Reviver Seeds you're gonna need for this one.	Very reckless, if she misses she can get hurt a lot more than others.	Husband: Codd Branford
Mienfoo Mienshao	Male			P26334516	24/01/2004																								Electric	Bold	Assault Vest: Boosts SD, but cannot use status moves				Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Milotic	Female			P38765662	04/03/2001																								Grass	Careful	Joy Ribbon: 2X XP				Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Milotic	Male			P25364044	17/06/1986																								Psychic	Gentle	Prism Scale: +1 SD and EV when held by Milotic ~ Beauty Scarf: +1 SD and AC when held by Milotic				PP Siphon: Drains PP from an enemy.	None			
Minccino Cinccino	Female			P28327960	31/07/1985																								Flying	Hardy	Friend Gift (3): Insta-Recruits Pokemon	Tail Slap			Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Minun	Male			P91514131	21/11/2000																								Fighting	Impish	Electric Seed: +1 DF in Electric Terrain	Helping Hand			Notorious Healing: The rate at which HP restores naturally is sped up. 	None			
Mudkip Marshtomp Swampert	Male			P21678907	12/04/2009																								Poison	Jolly	Alert Specs: Teammates's items can't be stolen	Muddy Water			Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	Megaevolution: Form Change Enlightenment			
Munna Musharna	Female			P35398788	10/02/1999																								Ground	Relaxed	Dream World Charm: Grants Access to the Dream World				Sales Pitch: The team can sell items at higher price.	None			
Necrozma	Unknown	Cavum	Nirum	P18633327	??/??/????	WOL, Unknown	Nuricom Alliance Guard Leader	Unknown	Unknown	Unknown	244	244	???	Segoe #d5d5d5	Travis Willingham/Hiroki Yasumoto	Often lost in thought	ENTJ	Nuricom Alliance, Space, Loyalty	Black Holes, Ultra Beasts, Betrayal		117	117	117	117	117	117	100	Psychic Dark	Fire	Mild	Ultranecrozium Z: Turns Photon Geyser into Light That Burns The Sky during Ultra Burst. ~ Space Globe: +1 AT and SA when held by a Legendary ~ Sparkling Stone: Powers up Z-Moves	Prismatic Laser (160/SA/Psychic) 1 turn recharge ~ Photon Geyser (???/100/Psychic) Uses higher stat ~ Sunsteel Strike (100/AT/Steel) Ignores abilities ~ Moongeist Beam (100/SA/Ghost) Ignores abilities	For Answer: (Dragon) Charges 3 turns, maxes out all stats	Prism Armor: Super Effective moves do less damage	Black Glint: Teammates can use multiple Z-Moves at once if they have more than one Z-Crystal.	Ultra Burst: Form Change Enlightenment	If fused with Peahina or Lailona, they gain access to one of the most powerful Finishers, and become a spine chilling nuke with their Z-Move.	Crippled by getting rid of their items, or preventing the fusion.	Friends: Peahina Houkuu, Lailona Houkuu, Libidine Ludibrium, Codd Branford
Nidoran Nidorina Nidoqueen	Female			P35891921	31/05/1983																								Dragon	Hardy	Queen's Rock: Guarantees Flinching				Steamroll: Ignores types and abilities lowering a move's damage.	None			
Nidoran Nidorino Nidoking	Male			P16451106	05/03/1976																								Water	Calm	King's Rock: Guarantees Flinching				Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Nihilego	Unknown			P11137896	04/12/1998																								Poison	Serious	Bright Powder: Lowers foe's AC				Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Noibat Noivern	Female	Fluctus	Pennae	P33871920	03/10/2001	WOL, Water Continent	Sound Engineer	Hetero	Sub	Bottom	139	77	53	Bedlam #923ff6	Brianna Knickerbocker/Aya Endo	Alert to sounds	ISFP	Music, Technology, Humans	Unreliable Equipment, Airpods, Consoles		80	70	80	100	80	130	51	Flying Dragon	Flying	Timid	Choice Scarf: +1 SP, but can only use one move ~ Metronome: Boosts a move used repeatedly	Hurricane (110/SA/Flying) 30% Confusion chance ~ Taunt (Dark) foe can't use non-damaging moves ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Switcheroo (Dark) Switches item with foe	None	Infiltrator: Ignores Substitutes and Barriers	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Her sound manipulation combined with her sleight of hand allows her to cripple many foes by sneaking a Choice Scarf on them.	But then what? She's going to need a teammate to finish the battle properly.	Crush: Doreikun Furai
Noibat Noivern	Male			H61846344	17/07/1979																								Rock	Jolly	Black Glasses: Boosts Dark moves ~ Noivernium Z: Turns Boom Burst into Sonic Boom				Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Oricorio	Female			P26058914	18/03/2009																								Steel	Docile	Nectar Jars (11): Allows Oricorio to Style Shift ~ Prop Case: Holds Dancing Props	Revelation Dance			Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Style Shift: Form Change Enlightenment			
Oshawott Dewott Samurott	Male	Dairou	Tengoku	H74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Tengoku Leader	Bi	Dom	Top	164	97	101	Libertinus Serif #5584e5	Griffin Burns/Masayuki Kato	Likes to fight	INTP	Serperiors, Pokemon, Post Town	Connection Orbs, Being Hungry, Wasting Items	Blue eyes, more vibrant colors, vine band on each arm.	100	110	90	100	70	70	70	Water	Steel	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves ~ Adventure Backpack: Allows Teams to hold more than 3 items	Tempest Blade: (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Retaliate (70/AT/Normal) Double power if ally fainted ~ Water Pledge (80/SA/Water) Special effect when used with other pledges	Zantetsuken (400/AT/Water) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Paradigm Shift: Can swap moves with teammates	Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami and Susanoo.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku ~ Friends:: Susanoo Tengoku, Senpu Tengoku, Nezumi Tengoku
Oshawott Dewott Samurott	Male			P13528376	08/11/2006																								Ice	Rash	Shinai: -1 AT and SA, +2 AC and EV				Blast Control: Damage the team takes from explosions is reduced. 	None			
Pachirisu	Female	Jeongi	Park	P95312170	02/12/1997	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Bottom	78	11	57	Southpaw #1eaac9	Reba Buhr/Ayane Sakura	A little quick tempered	ESTP	Fighting, Trainers, Ribbons	Draco Meteors, Metas, Sweeping		60	40	70	40	111	90	90	Electric	Electric	Impish	Berry Pots: Grows berries while traveling ~ Berry Pouch: Stores Berries	Nuzzle (20/AT/Electric) Causes Paralysis ~ Follow Me (Normal) All foes's moves target the user ~ Super Fang (???/AT/Normal) Halves foe's HP ~ Swagger (Normal) +2 AT to foe, causes confusion	Light Beacon (Electric) +1 Priority, all foes's moves target the user, immune to all moves	Volt Absorb: Heals when hit by Electric moves	Food Finder: Tiny Apples spawn much more often.	None	Thinking she's harmless and focusing on her teammate instead will be your worst mistake.	Fool me twice...	Boyfriend: Hankari Park ~ Trainer: Sejun Park
Palkia	Male	Shinju	Izanagi	P87136214	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Switch	Top	422	335	143	Comfortaa Sans #cc80c2	Mike Mcfarland/Kazuhiro Yamaji	Very finicky	INFJ	Loyalty, Space Gears, Leafeons	Red Chains, Primal Reversion, Rulers		88	120	100	150	120	100	95	Water Dragon	Bug	Adamant	Lustrous Orb: Boosts Dragon and Water type moves if held by a Palkia, grants Primal Reversion	Spacial Rend: (100/SA/Dragon) +1 Crit Chance ~ Hydro Pump (110/SA/Water) ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath: (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature: (190/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Primal Reversion: Form Change Enlightenment	Disorients and cripples foes that rely on speed.	Ground types can shrug off his most powerful blows.	Sister: Kongouseki Izanami ~ Friend: Samael Amphithere
Pancham Pangoro	Male			P78128671	26/09/1977																								Normal	Hardy	Choice Band: +1 AT, but can only use one move	Parting Shot ~ Arm Thrust			Funnel Fun: Corridors restore HP faster.	None			
Pawniard Bisharp	Male			P55891011	23/04/1991																								Ghost	Docile	Phantom Armor: Grants Immunity to Fighting moves				Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Petilil Lilligant	Female			P25891808	17/06/2002																								Fighting	Sassy	Lucky Ribbon: Immune to Crits				Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Pichu Pikachu Raichu (Alola)	Female	Nezumi	Tengoku	P45345893	29/04/2006	WOL, Mist Continent	Tengoku Commander	Hetero	Sub	Bottom	71	19	19	Sitka #90decd	Christine Marie Cabanos/Shiori Mikami	Somewhat of a clown	ENFP	Beaches, Vacations, Drinks	Snow, Working, Eating		65	95	55	95	85	115	64	Electric Water	Dragon	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Aloraichium Z: Turns Thunderbolt into Stoked Sparksurfer ~ Adventure Backpack: Allows Teams to hold more than 3 items	Thunderbolt (90/SA/Electric) 10% Paralysis chance ~ Nasty Plot (Dark) +2 SA ~ Bide (Normal) 2 turn charge, deals 2X damage received ~ Surf (90/SA/Water) 2X Damage on diving foes	Thunderous Wave (50/SA/Electric) OHKO's Water types and diving foes	Surge Surfer: 2X Speed on Electric terrain	Sales Pitch: The team can sell items at higher price.	None	Feel the wave dude!	Oh heck it's too big, AAAAA!!!	Friends: Dairou Tengoku, Tsutami Tengoku, Susanoo Tengoku ~ Rival: Senpu Tengoku
