[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Litten Torracat Incineroar	Female			40573995	11/01/2007																								Poison	Naughty		Darkest Lariat			Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Litwick Lampent Chandelure	Male			13132009	20/11/1979																								Electric	Careful					Forge a Path: Consumes Belly to break down walls.	None			
Lugia	Male	Ryuujin	Estrus	22204428	01/07/1953	WOL, Mystery Continent	WOD Ocean Guard Leader	Bi	Dom	Switch	600	341	204	Criticized #a8bde2	Christopher Bevins/Toru Okawa	Somewhat stubborn	ESFP	Fenhuang, Humans, Lewds	Unknown		105	90	130	90	155	110	92	Psychic Flying	Rock	Calm	Silver Koto: Triggers War Mist when played.	Aeroblast (100/SA/Flying) +1 Crit chance ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Dragon Tail (60/AT/Dragon) Forces foe to switch places ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Whale Darkness (Water) Requires War Mist, removes and blocks all healing, reviving, and buffs	Multiscale: -50% damage at full HP	Blast Control: Damage the team takes from explosions is reduced. 	War Mist: +1 DF and SD every turn			
Lunala	Female	Peahina	Houkuu	33139627	07/05/1996	WOL, Mystery Continent	Ultra Wormhole Guard	Hetero	Sub	Bottom	395	117	100	Sabor #6434c4	Xanthe Huynh/Ai Kayano	Thoroughly cunning	ISFJ	Leviathan, Nights, Cavum	Lailona, Space, Ultra Beasts		137	117	87	137	107	97	96	Psychic Ghost Ice	Bug	Bashful	N-Solarizer: A machine to separate a Necrozma from a Solgaleo.	Moongeist Beam (100/SA/Ghost) Ignores abilities ~ Psyshock (80/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Moonblast (95/SA/Fairy) 30% chance -1 SA to foe	Lunar Eclipse (Psychic) Requires Solar Eclipse in same turn, Heals 50% HP per turn	Shadow Shield: -50% damage at full HP	Collective Strike: All teammates have the same speed stat as the fastest teammate.	Full Moon: Form Change Enlightenment			
Mareep Flaaffy Ampharos	Male			92037653	24/09/1985																								Electric	Hardy					Tight Formation: The more team members, the lower the damage from wide-ranging moves.	Megaevolution: Form Change Enlightenment			
Mareep Flaaffy Ampharos	Female			58051660	14/05/1972																								Ground	Docile					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Megaevolution: Form Change Enlightenment			
Marshadow	Male	Jake	Northstar	96433531	26/01/2006	WOD, USA, Illinois, Chicago	Martial Arts Trainer	Unknown	Unknown	Unknown	60	22	Unknown	Samdan #262c29		Likes to run	ISTP	Codd, Fighting, Anime	Ghost Types, Fighting Types, Normal Types		90	120	90	90	90	120	100	Fighting Ghost	Electric	Bold	Life Orb: Drains HP to power up moves. ~ Expert Belt: Powers up super effective moves.	Spectral Thief (90/AT/Ghost) Steals foe's boosts ~ Close Combat (120/AT/Fighting) -1 SD ~ Shadow Sneak (40/AT/Ghost) +1 Priority ~ Phantom Hand (Ghost) Foe can't move the next turn	Rending Fists (50/AT/Ghost) Hits ? times, causes Flinching	Technician: Moves below 60 power do 50% extra damage	PP Siphon: Drains PP from an enemy.	Zenith: Form Change Enlightenment			
Mawile	Female			96487310	26/10/1998																								Water	Sassy					Squeeze Out: The whole team can squeeze extra PP once per battle.	Megaevolution: Form Change Enlightenment			
Meditite Medicham	Female			14564578	28/01/2004																								Water	Quirky					Narrow Focus: Moves used in corridors will never miss. 	Megaevolution: Form Change Enlightenment			
Meloetta	Female			80867638	04/04/1979																								Flying	Sassy		Relic Song			Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Reliquia: Form Change Enlightenment			
Mew	Both?	Libidine	Ludibrium	14378192	07/09/1991	WOL, Unknown	Geneticist	Bi	Switch	Switch	36	3	Unknown	MV Boli #e79cd1	Skyler Davenport/Hitomi Ueda	Loves to eat	ESFP	Lewds, Genetics, Mewtwos	Being asked by someone to change gender		100	100	100	100	100	100	99	Psychic	Fairy	Gentle	Mewnium Z: Turns Psychic into Genesis Supernova. ~ Leftovers: Slowly restores HP.	Transform (Normal) Turns into clone of the foe ~ Psychokinesis (100/???/Psychic) Uses AT or SA based on foe's stats ~ Future Sight (120/SA/Psychic) Hits the next turn ~ Psychic (90/SA/Psychic) 10% chance -1 SD to foe	Boring! (Parry/Psychic) Immune to damage, copies move with 4X damage 	Synchro Bounce: Reflects stat debuffs and status conditions	Blast Control: Damage the team takes from explosions is reduced. 	Mugenono: Nullifies Mugen Genes			
Mewtwo	Female	Myuuichi	Jikken	21773830	26/01/1978	WOD, Unknown	Gene Tester	Hetero	Sub	Bottom	200	122	Unknown	Galaxy #7b3fac	Brittney Lee Harvey/Yukana Nogami	Likes to fight	ESTJ	Libidine, Myuurei, Special Moves	Physical Moves, Females, Humans		100	140	140	120	120	100	97	Psychic Fairy	Water	Quirky	Mewtwonite Y: Grants Megaevolution Y	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Moon Cannon (150/SA/Fairy) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves and PP restoration	Pressure: Foes use 2X PP	Link Boost: The power of linked moves is boosted.	Oxygen Gene: 2X DF			
Mewtwo	Male	Myuurei	Jikken	61543177	09/09/1983	WOD, Unknown	Gene Tester	Hetero	Dom	Top	200	122	Unknown	Fusion #644380	Erik Kimerer/Masaya Fukunishi	Hates to lose	ENTP	Libidine, Myuuichi, Physical Moves	Special Moves, Males, Humans		100	120	120	140	140	100	97	Psychic Fighting	Ground	Bold	Mewtwonite X: Grants Megaevolution X	Psystrike (100/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Solar Strike (150/AT/Fighting) 1 turn recharge	Gigabar Pressure (Psychic) Blocks all foe's moves and PP restoration	Unnerve: Foes can't use items	Tight Formation: The more team members, the lower the damage from wide-ranging moves.	Neon Gene: 2X SD			
Mienfoo Mienshao	Female	Sheng	Zhandou	37472737	08/12/1984	WOD, China, Hebei, Beijing	Vice-President of Nuricom Alliance	Hetero	Sub	Switch	138	31	40	Parmapetit #f3f1a3	Jessica Straus/Eri Kitamura	A little quick tempered	ENTJ	Codd, Fighting, Nuricom Alliance	Codd, Fighting, Nuricom Alliance		60	130	60	90	60	110	84	Fighting 	Fighting	Rash	Assault Vest: Boosts SD, but can only use damaging moves.	High Jump Kick (130/AT/Fighting) 50% Recoil if it misses ~ Fake Out (50/AT/Normal) Causes flinch, first turn only ~ Sleeve Kiai (Parry/Fighting) If hit, causes Confusion ~ Reversal (200/AT/Fighting)  Higher HP decreases power	Soaring Wind Fist (100/AT/Fighting) Hits 3 times, both user and foe recharge	Reckless: Recoil moves do 25% extra damage	Small Stomach: Anyone in the team can fill up their belly with any food.	Iron Gene: 2X SP			
Mienfoo Mienshao	Male			26334516	24/01/2004																								Electric	Bold					Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Milotic	Female			38765662	04/03/2001																								Grass	Careful					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Milotic	Male			25364044	17/06/1986																								Psychic	Gentle					PP Siphon: Drains PP from an enemy.	None			
Minccino Cinccino	Male			69719590	20/09/1973																								Dragon	Timid		Tail Slap			Recoil Boost: Moves that recoil do 2X damage.	None			
Minccino Cinccino	Female			28327960	31/07/1985																								Flying	Hardy					Squeeze Out: The whole team can squeeze extra PP once per battle.	None			
Minun	Male			91514131	21/11/2000																								Fighting	Impish		Helping Hand			Notorious Healing: The rate at which HP restores naturally is sped up. 	None			
Mudkip Marshtomp Swampert	Male			21678907	12/04/2009																								Poison	Jolly		Muddy Water			Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	Megaevolution: Form Change Enlightenment			
Munna Musharna	Female			35398788	10/02/1999																								Ground	Relaxed					Sales Pitch: The team can sell items at higher price.	None			
Necrozma	Unknown	Cavum	Nirum	18633327	29/07/1988	WOL, Unknown	Nuricom Alliance Guard	Unknown	Unknown	Unknown	244	244	Unknown	Segoe #d5d5d5	Travis Willingham/Hiroki Yasumoto	Often lost in thought	ENTJ	Codd, Space, Loyalty	Jake, Ultra Beasts, Betrayal		117	117	117	117	117	117	100	Psychic Dark	Fire	Mild	Ultranecrozium Z: Turns Photon Geyser into Light That Burns The Sky during Ultra Burst.	Prismatic Laser (160/SA/Psychic) 1 turn recharge ~ Photon Geyser (???/100/Psychic) Uses higher stat ~ Sunsteel Strike (100/AT/Steel) Ignores abilities ~ Moongeist Beam (100/SA/Ghost) Ignores abilities	For Answer: (Dragon) Charges 1 turn, maxes out all stats	Prism Armor: Super Effective moves do less damage	Funnel Fun: Corridors restore HP faster.	Ultra Burst: Form Change Enlightenment			
Nidoran Nidorina Nidoqueen	Female			35891921	31/05/1983																								Dragon	Hardy					Steamroll: Ignores types and abilities lowering a move's damage.	None			
Nidoran Nidorino Nidoking	Male			16451106	05/03/1976																								Rock	Calm					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Nihilego	Unknown			11137896	04/12/1998																								Poison	Serious					Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Noibat Noivern	Female	Fluctus	Pennae	33871920	03/10/1996	WOL, Water Continent	Sound Engineer	Hetero	Sub	Bottom	139	77	53	Bedlam #923ff6	Brianna Knickerbocker/Aya Endo	Alert to sounds	ISFP	Music, Technology, Humans	Unreliable Equipment, Airpods, Consoles		80	70	80	100	80	130	51	Flying Dragon	Fighting	Hardy	Choice Scarf: Boosts Speed, but limits to one move.	Hurricane (110/SA/Flying) 30% Confusion chance ~ Taunt (Dark) foe can't use non-damaging moves ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Switcheroo (Dark) Switches item with foe	None	Infiltrator: Ignores Substitutes and Barriers	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Noibat Noivern	Male			61846344	17/07/1979																								Rock	Jolly					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Oricorio	Female			26058914	18/03/2010																								Steel	Docile		Revelation Dance			Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Style Shift: Form Change Enlightenment			
Oricorio	Male			74501165	26/02/2004																								Dragon	Timid		Revelation Dance			Forge a Path: Consumes Belly to break down walls.	Style Shift: Form Change Enlightenment			
Oshawott Dewott Samurott	Male	Dairou	Tengoku	74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Tengoku Leader	Bi	Dom	Top	164	97	101	Libertinus Serif #5584e5	Griffin Burns/Masayuki Kato	Likes to fight	INTP	Tsutami, Pokemon, Post Town	Connection Orbs, Being Hungry, Wasting Items	Blue eyes, more vibrant colors, vine band on each arm.	100	110	90	100	70	70	70	Water	Steel	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves	Tempest Blade: (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Retaliate (70/AT/Normal) Double power if ally fainted ~ Water Pledge (80/SA/Water) Special effect when used with other pledges	Zantetsuken (400/AT/Water) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch	Sales Pitch: The team can sell items at higher price.	Paradigm Shift: Can swap moves with teammates	Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku
Oshawott Dewott Samurott	Male			13528376	08/11/2006																								Ice	Rash					Blast Control: Damage the team takes from explosions is reduced. 	None			
Pachirisu	Female	Jeongi	Park	95312170	02/12/1996	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Switch	78	11	57	Southpaw #1eaac9	Reba Buhr/Ayane Sakura	A little quick tempered	ESTP	Fighting, Trainers, Hankari	Draco Meteors, Metas, Stalling		60	40	70	40	111	90	90	Electric	Bug	Hasty	Sitrus Berry: Restores 25% of HP	Nuzzle (20/AT/Electric) Causes Paralysis ~ Follow Me (Normal) All foes's moves target the user ~ Super Fang (???/AT/Normal) Halves foe's HP ~ Swagger (Normal) +2 AT to foe, causes confusion	Light Beacon (Electric) +1 Priority, all foes's moves target the user, immune to all moves	Volt Absorb: Heals when hit by Electric moves	Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	None			
Palkia	Male	Shinju	Izanagi	87136214	22/05/1977	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Bottom	422	335	143	Comfortaa Sans #cc80c2	Mike Mcfarland/Kazuhiro Yamaji	Very finicky	INFJ	Kongouseki, Space Gears, Leafeons	Red Chains, Primal Reversion, Rulers		88	120	100	150	120	100	95	Water Dragon	Flying	Lonely	Space Gear Statue: Grants Primal Reversion if Space Gears are nearby. ~ Lustrous Orb: Boosts Dragon and Water type moves if held by a Palkia.	Spacial Rend: (100/SA/Dragon) +1 Crit Chance ~ Hydro Pump (110/SA/Water) ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath: (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature: (190/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Bargain: Items can be bought at a lower price from shops in dungeons. 	Primal Reversion: Form Change Enlightenment			
Pancham Pangoro	Male			78128671	26/09/1977																								Normal	Timid		Parting Shot ~ Arm Thrust			Funnel Fun: Corridors restore HP faster.	None			
Pawniard Bisharp	Male			55891011	23/04/1991																								Ghost	Docile					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Petilil Lilligant	Female			25891808	17/06/2002																								Fighting	Sassy					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Pichu Pikachu Raichu (Alola)	Female	Nezumi	Tengoku	45345893	29/04/1992	WOL, Mist Continent	Tengoku Commander	Hetero	Sub	Bottom	71	19	19	Sitka #90decd	Christine Marie Cabanos/Shiori Mikami	Somewhat of a clown	ENFP	Beaches, Vacations, Drinks	Snow, Working, Eating		65	95	55	95	85	115	64	Electric Water	Dragon	Modest	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Aloraichium Z: Turns Thunderbolt into Stoked Sparksurfer	Thunderbolt (90/SA/Electric) 10% Paralysis chance ~ Nasty Plot (Dark) +2 SA ~ Bide (Normal) 2 turn charge, deals 2X damage received ~ Surf (90/SA/Water) 2X Damage on diving foes	Thunderous Wave (50/SA/Electric) OHKO's Water types and diving foes	Surge Surfer: 2X Speed on Electric terrain	Sales Pitch: The team can sell items at higher price.	None			
Pichu Pikachu Raichu	Male	Adam	Eden	48239801	28/08/1970	WOD, USA, California, Los Angeles	Eden Leader	Hetero	Switch	Top	86	32	26	Futura #f2ca0a		Likes to run	ENFJ	Rescue Teams, Starters, Eve	Behemoth, Leviathan, Ziz		65	85	45	105	95	115	80	Electric Psychic	Fighting	Relaxed	Glory Band: Enhanced Twist Band that prevents all stats from lowering.	Volt Tackle (120/AT/Electric) 33% recoil, 10% Paralysis chance ~ Double Team (Normal) +1 EV ~ Volt Switch (70/SA/Electric) Switches places with teammate ~ Charge (Electric) +1 SD, next Electric move does 2x damage	Zettahertz Missile (700/AT/Electric) 1 turn charge, Causes Paralysis to user	Lightning Rod: Absorbs all Electric moves to gain +1 SA	Sales Pitch: The team can sell items at higher price.	United We Stand: Activates all teammates's Enlightenments			
Pidove Tranquill Unfeazant	Male			43840600	05/11/1979																								Psychic	Naive					Food Finder: Tiny Apples spawn much more often.	None			
Pikipek Trumbeak Toucannon	Female			60248689	25/10/1991																								Fire	Lonely					Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Piplup Prinplup Empoleon	Male			93103200	27/07/1976																								Fighting	Adamant					Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None			
Plusle	Female			53911830	14/08/1983																								Dark	Timid		Helping Hand			Sales Pitch: The team can sell items at higher price.	None			
Popplio Brionne Primarina	Female	Cefca	Pagliaccio	74778800	27/10/1997	WOD, Spain, Catalunya, Montmeló	Teacher in the Seashell Conservatoire	Bi	Switch	Switch	179	43	87	Waltograph #547fec	Susan Calloway/Mika Nakashima	Mischievous	ESFP	Dragons, Sex, Children	Only very small and trivial things.	Black beads, stars and fins, blue eyes and nose. All blue hues turn green during Regik.	70	74	74	126	116	90	84	Water Fairy	Psychic	Jolly	Hair Beads: All Infatuated foes don't recover.	Hyper Voice (90/SA/Normal) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Sparkling Aria (90/SA/Water) Hits all foes, cures Burn ~ Scald (80/SA/Water) Burns foe, cures Frozen	Dicepocalypse (Normal) Uses random Finisher	Fluid Voice: All sound moves become Water Type	Heartstrings: If a teammate's connection faints, they get an extra Finisher.	Regik: Refills and doubles HP stat, completely random effect every turn.	Her Regik makes her fighting style completely unpredictable...	...But can backfire pretty hard.	Non-Consensual Sex Slaves: Nirvana Moksha, Matilde Quemar, Flaros Overfield
Popplio Brionne Primarina	Male	Elton	Armada	85346059	09/02/2005	WOL, Fire Continent	Student in the Seashell Conservatoire	Bi	Sub	Bottom	183	49	47	Trask's Hand #e31cef	Chris Rickabaugh/Ayumu Murase	Highly curious	ISFP	Cefca, Music, His Fur	Seriousness, Working, Long Dates		90	74	74	126	116	70	19	Water Fairy	Poison	Quirky	Nylon Guitar: 1% chance of causing Deaf.	Hydro Pump (110/SA/Water) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Rest (Psychic) Sleep 2 turns, heals 100% HP and cures all status conditions ~ Sleep Talk (Normal) Requires Sleep, uses random move	None	Fluid Voice: All sound moves become Water Type	Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	None			
Purrloin Liepard	Female			21603781	17/07/2003																								Flying	Lax					Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	None			
Ralts Kirlia Gallade	Male			91404468	24/01/1970																								Fire	Docile					Brawl: Teammates get a bit stronger when there are many foes.	Megaevolution: Form Change Enlightenment			
Ralts Kirlia Gardevoir	Female			44068063	05/07/1988																								Dark	Serious					Bargain: Items can be bought at a lower price from shops in dungeons. 	Megaevolution: Form Change Enlightenment			
Rayquaza	Female	Ziz	Mikado	74498264	30/10/1975	WOL, Mystery Continent	Weather Guard	Unknown	Unknown	Unknown	841	238	Unknown	Bennington #3dae37	Dorothy Fahn/Yoshino Otori	Likes to trash about	ENTJ	Nothing	Everything		110	150	90	150	90	90	91	Dragon Flying	Water	Jolly	Green Orb: Grants Mega Evolution	Dragon Ascent (120/AT/Flying) -1 DF and SD ~ Dragon Dance (Dragon) +1 AT and SP ~ Extreme Speed (80/AT/Normal) +2 Priority ~ V-Create (180/AT/Fire) -1 DF and SD	Whirlwind Typhoon (200/???/???) Type change from weather and field, coin toss between AT and SA	Air Lock: Disables weather	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Megaevolution: Form Change Enlightenment			
Reshiram	Female	Shiro	Ryuumouto	30298868	22/09/1955	WOL, Mystery Continent	Mystery Continent Guard	Hetero	Sub	Bottom	286	299	114	Benguiat Sans #ccbebd	Allegra Clark/Mie Sonozaki	Thoroughly cunning	INTJ	Humans, Kuro, Puzzles	Organizations, Lies, Cowards	Claws, rings, and other metallic parts are red.	100	120	100	150	120	90	98	Dragon Fire	Fire	Quiet	Focus Sash: Resists OHKO's with 1 HP left.	Fusion Flare: (100/SA/Fire) 2x power if used with Fusion Bolt ~ Blue Flare (130/SA/Fire) 20% Burn Chance, might miss ~ Draco Meteor (130/SA/Dragon) -2 SA ~ Roost (Flying) Heals 50% HP	Scorching Howl (200/SA/Fire) 1 turn charge, lasts 5 turns	Turboblaze: All Moves and their effects ignore foe's ability.	Yang: Doubles nearby Zekrom's speed	Overdrive: Form Change Enlightenment	Completely walls Steel types, unstoppable with a trainer, or Kuro.	Kyurem, doesn't handle status conditions well.	Brother: Kuro Ryuuniki
Riolu Lucario	Male	Vega	Chronos	11944075	30/10/1984	WOD, Canada, Britcol, Vancouver	Chronos Leader	Hetero	Dom	Top	164	66	50	Rialto Ant'd #0c14d2	Kyle Hebert/Hiroki Takahashi	Often lost in thought	ENTP	Lyra, Justice, Exploration	Outlaws, Sadism, Tensei		75	110	75	120	75	100	75	Dragon Fighting Steel	Fire	Lax	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Black Time Gear: A supercharged Time Gear that removes charging or resting turns.	Power-Up Punch (40/AT/Fighting) +1 AT ~ Aura Sphere (80/SA/Fighting) Never misses ~ Focus Punch (150/AT/Fighting) Fails if user is hit ~ Final Gambit (Fighting) Does damage equal to HP, user faints	Star Sword (100/AT/Normal) Requires Star Shield in same turn, +3 AT and SA	Inner Focus: Immune to flinch	Recoil Boost: Moves that recoil do 2X damage.	Grand Finale: If a teammate uses a Finisher, it becomes a Team Attack		Cannot Megaevolve	
Riolu Lucario	Male			60858472	25/04/1988																								Electric	Timid					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	Megaevolution: Form Change Enlightenment			
Rockruff Lycanroc	Female			39870140	19/10/1981																								Ghost	Hasty		Accelerock ~ Stone Edge			Notorious Restoration: Items restore more HP and Belly.	None			
Rockruff Lycanroc	Male			83359197	24/09/1979																								Steel	Mild					Link Boost: The power of linked moves is boosted.	None			
Rowlet Dartrix Decidueye	Male			56327696	19/07/1978																								Rock	Adamant		Spirit Shackle			Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None			
Rufflet Braviary	Male			52755645	01/12/1976																								Dragon	Naive					Wary Walk: The whole Team is immune to traps.	None			
Sableye	Male			74162161	01/07/2010																								Electric	Hardy					Notorious Healing: The rate at which HP restores naturally is sped up. 	Megaevolution: Form Change Enlightenment			
Salandit Salazzle	Female			71035848	20/08/1987																								Steel	Mild					Forge a Path: Consumes Belly to break down walls.	None			
Sandile Krokorok Krookodile	Male			18637555	29/03/1997																								Normal	Careful					Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Sandshrew Sandslash	Female	Kenkyo	Kaze	38673020	20/03/1997	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Bottom	105	46	25	Diavlo #259dc0	Julia McIlvaine/Hitomi Nabatame	Good endurance	ISFJ	Hokori, Sleeping, Fighting	Her quills and how they prevent her from sleeping.		75	100	110	45	55	65	24	Ground Steel	Psychic	Lax	Bond Ring: Doubles HP of another Pokemon holding Bond Ring.	Earthquake: (100/AT/Ground) 2X damage on digging foes ~ Knock Off (65/Dark/AT) 1.5x damage if foe has item, removes item ~ Rapid Spin (20/AT/Normal) Removes stage hazards, binding, and seeds ~ Stealth Rock (Rock) Deals damage on switch in	None	Sand Rush: 2X SP in Sandstorms	Food Finder: Tiny Apples spawn much more often.	None			
Sandshrew Sandslash (Alola)	Male	Hokori	Kaze	13356248	04/03/1999	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Top	134	60	23	Dekar #c0b025	John Snyder/Daisuke Ono	Good perseverance	ISTJ	Kenkyo, Eating, Humans	That he likes eating and how he gets too fat.		75	100	120	25	65	65	26	Ice Steel	Normal	Modest	Bond Ring: Doubles HP of another Pokemon holding Bond Ring.	Swords Dance: (Normal) +2 AT ~ Knock Off (65/Dark/AT) 1.5x damage if foe has item, removes item ~ Icicle Crash (85/AT/Ice) 30% Flinch Change ~ Iron Head (80/AT/Steel) 30% Flinch Chance	None	Slush Rush: 2X SP in Hails	PP Siphon: Drains PP from an enemy.	None			
Scraggy Scrafty	Male			12125803	08/06/1976																								Dragon	Hardy		Facade			Enlightened: Teammates can use Enlightenments immediately.	None			
Sentret Furret	Female			79916007	28/02/1986																								Psychic	Relaxed					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Seviper	Male			50282773	07/02/1980																								Rock	Naughty		Poison Tail			Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Sewaddle Swadloon Leavanny	Female			32247060	24/06/1988																								Fighting	Calm					Recoil Boost: Moves that recoil do 2X damage.	None			
Shaymin	Male			25895495	24/08/1989																								Grass	Lax					Narrow Focus: Moves used in corridors will never miss. 	Sky Forme: Form Change Enlightenment			
Shinx Luxio Luxray	Female	Sirius	Chronos	16677907	26/11/1980	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	120	35	42	Garamond #093585	Cassandra Lee Morris/Ayana Taketatsu	Likes to trash about	ENFP	Exploration, Chronos, Humans	Samael, Betelgeuse, Fainting		79	120	79	100	79	80	71	Electric	Normal	Brave	United Scarf: Enhanced Coalition Scarf that boosts team attacks.	Wild Charge (90/AT/Electric) 25% recoil ~ Volt Switch (70/SA/Electric) Switches with teammate ~ Thunder (110/SA/Electric) Can't miss in the rain ~ Flash (Normal) -1 AC to foe	Stun Grenade (100/SA/Electric) Causes Paralysis and Confusion to all foes	Guts: +1 AT if hit by status condition, immune to Burn	Blast Control: Damage the team takes from explosions is reduced. 	None			
Shinx Luxio Luxray	Male			49687393	30/01/1973																								Dark	Modest					Forge a Path: Consumes Belly to break down walls.	None			
Shroomish Breloom	Male			77646414	17/02/1981																								Flying	Lax		Mach Punch			XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Skarmory	Male			90251952	10/10/2004																								Ground	Bashful		Steel Wing			Link Boost: The power of linked moves is boosted.	None			
Skitty Delcatty	Female	Mocha	Otonanou	50828121	08/03/2002	WOD, Japan, Kyushu, Nagasaki	Classified Package Delivery	Hetero	Sub	Bottom	99	27	40	Vibur #f80ea7	Ari Ozawa/Bonnie Gordon	Highly curious	INFP	Sex, Her Job, Sleeping	Fighting, Milk, Doreikun		70	70	70	96	69	88	11	Normal 	Fairy	Gentle	Soothing Bell: Makes holder happier.	Calm Mind (Psychic) +1 SA and SD ~ Baton Pass (Normal) Switches with teammate, passes stats changes and effects ~ Psych Up (Normal) Copies foe's stat changes ~ Attract (Normal) Causes Infatuation to opposite gender	None	Wonder Skin: Dodges status moves 50% of the time	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Skitty Delcatty	Female	Eve	Eden	40918855	11/04/1977	WOL, Air Continent	Eden Vice-Leader	Hetero	Switch	Bottom	109	31	32	Cambria #d5c496	Erica Mendez/Mariko Nagai	Nods off a lot	INTJ	Rescue Teams, Starters, Adam	Being told what to do		155	75	75	55	55	95	77	Normal	Normal	Lonely	Glory Band: Enhanced Twist Band that prevents all stats from lowering.	Blizzard (110/SA/Ice) 10% Freeze chance, never misses in hail ~ Sucker Punch (70/AT/Dark) Fails if foe isn't attacking, +1 Priority ~ Solar Beam (120/SA/Grass) 1 turn charge, no charge and no missing in Sunlight ~ Last Resort (140/AT/Normal) Fails unless all other moves are used	Good Night (Normal) Causes Sleep to all foes	Normalize: All moves are Normal type	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	Divided They Fall: Disables all foes's Enlightenments			
Sneasel Weavile	Female			84435224	26/09/2007																								Grass	Brave					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None			
