[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Noibat Noivern	Female	Fluctus	Pennae	33871920	03/10/1996	WOL, Water Continent	Sound Engineer	Hetero	Sub	Bottom	139	77	53	Bedlam #923ff6	Brianna Knickerbocker/Aya Endo	Alert to sounds	ISFP	Music, Technology, Humans	Unreliable Equipment, Airpods, Consoles		80	70	80	100	80	130		Flying Dragon	Fighting	Hardy	Choice Scarf: Boosts Speed, but limits to one move.				Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Noibat Noivern	Male			61846344	17/07/1979																								Rock	Jolly					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Oricorio	Female			26058914	18/03/2010																								Steel	Docile					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Oricorio	Male			74501165	26/02/2004																								Dragon	Timid					Forge a Path: Consumes Belly to break down walls.				
Oshawott Dewott Samurott	Male	Dairou	Tengoku	74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Tengoku Leader	Bi	Dom	Top	164	97	101	Libertinus Serif #5584e5	Griffin Burns/Masayuki Kato	Likes to fight	INTP	Tsutami, Pokemon, Post Town	Connection Orbs, Being Hungry, Wasting Items	Blue eyes, more vibrant colors, vine band on each arm.	100	110	90	100	70	70	71	Water	Steel	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves	Tempest Blade: (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Hydro Pump (110/SA/Water) ~ Retaliate (70/AT/Normal) Double power if ally fainted	Zantetsuken (400/AT/Steel) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch	Sales Pitch: The team can sell items at higher price.		Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku
Oshawott Dewott Samurott	Male			13528376	08/11/2006																								Ice	Rash					Blast Control: Damage the team takes from explosions is reduced. 				
Pachirisu	Female	Jeongi	Park	95312170	02/12/1996	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Switch	78	11	57	Southpaw #1eaac9	Reba Buhr/Ayane Sakura	A little quick tempered	ESTP	Fighting, Trainers, Hankari	Draco Meteors, Metas, Stalling		60	40	70	40	111	90		Electric	Bug	Hasty	Sitrus Berry: Restores 25% of HP				Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Palkia	Male	Shinju	Izanagi	87136214	22/05/1977	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Bottom	422	335	143	Comfortaa Sans #cc80c2	Mike Mcfarland/Kazuhiro Yamaji	Very finicky	INFJ	Kongouseki, Space Gears, Leafeons	Red Chains, Primal Reversion, Rulers		88	120	100	150	120	100		Water Dragon	Flying	Lonely	Space Gear Statue: Grants Primal Reversion if Space Gears are nearby. ~ Lustrous Orb: Boosts Dragon and Water type moves if held by a Palkia.				Bargain: Items can be bought at a lower price from shops in dungeons. 				
Pancham Pangoro	Male			78128671	26/09/1977																								Normal	Timid					Funnel Fun: Corridors restore HP faster.				
Pawniard Bisharp	Male			55891011	23/04/1991																								Ghost	Docile					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.				
Pawniard Bisharp	Male			25895495	24/08/1989																								Grass	Lax					Narrow Focus: Moves used in corridors will never miss. 				
Petilil Lilligant	Female			25891808	17/06/2002																								Fighting	Sassy					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.				
Pichu Pikachu Raichu (Alola)	Female	Nezumi	Tengoku	45345893	29/04/1992	WOL, Mist Continent	Tengoku Commander	Hetero	Sub	Bottom	71	19	19	Sitka #90decd	Christine Marie Cabanos/Shiori Mikami	Somewhat of a clown	ENFP	Beaches, Vacations, Drinks	Snow, Working, Eating		65	95	55	95	85	115		Electric Psychic Water	Dragon	Modest	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Aloraichium Z: Turns Thunderbolt into Stoked Sparksurfer				Sales Pitch: The team can sell items at higher price.				
Pichu Pikachu Raichu	Male	Adam	Eden	48239801	28/08/1970	WOD, USA, California, Los Angeles	Eden Leader	Hetero	Switch	Top	86	32	26	Futura #f2ca0a		Likes to run	ENFJ	Rescue Teams, Starters, Eve	Behemoth, Leviathan, Ziz		65	85	45	105	95	115		Electric Psychic Normal	Fighting	Relaxed	Glory Band: Enhanced Twist Band that prevents all stats from lowering.				Sales Pitch: The team can sell items at higher price.				
Pidove Tranquill Unfeazant	Male			43840600	05/11/1979																								Psychic	Naive					Food Finder: Tiny Apples spawn much more often.				
Pikipek Trumbeak Toucannon	Female			60248689	25/10/1991																								Fire	Lonely					Riled Up: Boosts AT and SA once when hit by an enemy.				
Piplup Prinplup Empoleon	Male			93103200	27/07/1976																								Fighting	Adamant					Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Plusle	Female			53911830	14/08/1983																								Dark	Timid					Sales Pitch: The team can sell items at higher price.				
Popplio Brionne Primarina	Female	Cefca	Pagliaccio	74778800	27/10/1997	WOD, Spain, Catalunya, Montmeló	Teacher in the Seashell Conservatoire	Bi	Switch	Switch	179	43	87	Waltograph #547fec	Susan Calloway/Mika Nakashima	Mischievous	ESFP	Dragons, Sex, Children	Only very small and trivial things.	Black beads, stars and fins, blue eyes and nose. All blue hues turn green during Regik.	70	74	74	126	116	90	69	Water Fairy	Psychic	Jolly	Hair Beads: All Infatuated foes don't recover.	Hydro Pump (110/SA/Water) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Sparkling Aria (90/SA/Water) Hits all foes, cures Burn ~ Scald (80/SA/Water) Burns foe, cures Frozen		Fluid Voice: All sound moves become Water Type	Heartstrings: If a teammate's connection faints, they get an extra Finisher.	Regik: Refills and doubles HP stat, completely random effect every turn.	Her Regik makes her fighting style completely unpredictable...	...But can backfire pretty hard.	Non-Consensual Sex Slaves: Nirvana Moksha, Matilde Quemar, Flaros Overfield
Popplio Brionne Primarina	Male	Elton	Armada	85346059	09/02/2005	WOL, Fire Continent	Student in the Seashell Conservatoire	Bi	Sub	Bottom	183	49	47	Trask's Hand #e31cef	Chris Rickabaugh/Ayumu Murase	Highly curious	ISFP	Cefca, Music, His Fur	Seriousness, Working, Long Dates		90	74	74	126	116	70		Water Fairy	Poison	Quirky	Nylon Guitar: All Infatuated foes cannot heal.				Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 				
Purrloin Liepard	Female			21603781	17/07/2003																								Flying	Lax					Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 				
Ralts Kirlia Gallade	Male			91404468	24/01/1970																								Fire	Docile					Brawl: Teammates get a bit stronger when there are many foes.				
Ralts Kirlia Gardevoir	Female			44068063	05/07/1988																								Dark	Serious					Bargain: Items can be bought at a lower price from shops in dungeons. 				
Rayquaza	Female	Ziz	Mikado	74498264	30/10/1975	WOL, Mystery Continent	Weather Guard	Unknown	Unknown	Unknown	841	238	Unknown	Bennington #3dae37	Dorothy Fahn/Yoshino Otori	Likes to trash about	ENTJ	Nothing	Everything		110	150	90	150	90	90		Dragon Flying	Water	Jolly	Green Orb: Grants Mega Evolution				Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.				
Reshiram	Female	Shiro	Ryuumouto	30298868	22/09/1955	WOL, Mystery Continent	Mystery Continent Guard	Hetero	Sub	Bottom	286	299	114	Benguiat Sans #ccbebd	Allegra Clark/Mie Sonozaki	Thoroughly cunning	INTJ	Humans, Kuro, Puzzles	Organizations, Lies, Cowards	Claws, rings, and other metallic parts are red.	100	120	100	150	120	90	76	Dragon Fire	Fire	Quiet	Focus Sash: Resists OHKO's with 1HP left.	Fusion Flare: (100/SA/Fire) 2x power if used with Fusion Bolt ~ Blue Flare (130/SA/Fire) 20% Chance of Burn, might miss ~ Draco Meteor (130/SA/Dragon) -2 SA ~ Roost (Flying) Heals 50% HP		Turboblaze: All Moves and their effects ignore foe's ability.	Yang: Doubles nearby Zekrom's speed	None	Completely walls Steel types, unstoppable with a trainer, or Kuro.	Kyurem, doesn't handle status conditions well.	Brother: Kuro Ryuuniki
Riolu Lucario	Male	Vega	Chronos	11944075	30/10/1984	WOD, Canada, Britcol, Vancouver	Chronos Leader	Hetero	Dom	Top	164	66	50	Rialto Ant'd #0c14d2	Kyle Hebert/Hiroki Takahashi	Often lost in thought	ENTP	Lyra, Justice, Exploration	Outlaws, Sadism, Tensei		75	110	75	120	75	100		Dragon Fighting Steel	Fire	Lax	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Black Time Gear: A supercharged Time Gear that removes charging or resting turns.				Recoil Boost: Moves that recoil do 2X damage.				
Riolu Lucario	Male			60858472	25/04/1988																								Electric	Timid					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Rockruff Lycanroc	Female			39870140	19/10/1981																								Ghost	Hasty					Notorious Restoration: Items restore more HP and Belly.				
Rockruff Lycanroc	Male			83359197	24/09/1979																								Steel	Mild					Link Boost: The power of linked moves is boosted.				
Rowlet Dartrix Decidueye	Male			56327696	19/07/1978																								Rock	Adamant					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Rufflet Braviary	Male			52755645	01/12/1976																								Dragon	Naive					Wary Walk: The whole Team is immune to traps.				
Sableye	Male			74162161	01/07/2010																								Electric	Hardy					Notorious Healing: The rate at which HP restores naturally is sped up. 				
Salandit Salazzle	Female			71035848	20/08/1987																								Steel	Mild					Forge a Path: Consumes Belly to break down walls.				
Sandile Krokorok Krookodile	Male			18637555	29/03/1997																								Normal	Careful					Bargain: Items can be bought at a lower price from shops in dungeons. 				
Sandshrew Sandslash	Female	Kenkyo	Kaze	38673020	20/03/1997	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Bottom	105	46	25	Diavlo #259dc0	Julia McIlvaine/Hitomi Nabatame	Good endurance	ISFJ	Hokori, Sleeping, Fighting	Her quills and how they prevent her from sleeping.		75	100	110	45	55	65		Ground Steel	Psychic	Lax	Bond Ring: Doubles HP of another Pokemon.				Food Finder: Tiny Apples spawn much more often.				
Sandshrew Sandslash (Alola)	Male	Hokori	Kaze	13356248	04/03/1999	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Top	134	60	23	Dekar #c0b025	John Snyder/Daisuke Ono	Good perseverance	ISTJ	Kenkyo, Eating, Humans	That he likes eating and how he gets too fat.		75	100	120	25	65	65		Ice Steel	Normal	Modest	Bond Ring: Doubles HP of another Pokemon.				PP Siphon: Drains PP from an enemy.				
Scraggy Scrafty	Male			12125803	08/06/1976																								Dragon	Hardy					Enlightened: Teammates can use Enlightenments immediately.				
Sentret Furret	Female			79916007	28/02/1986																								Psychic	Relaxed					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Seviper	Male			50282773	07/02/1980																								Rock	Naughty					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.				
Sewaddle Swadloon Leavanny	Female			32247060	24/06/1988																								Fighting	Calm					Recoil Boost: Moves that recoil do 2X damage.				
Shinx Luxio Luxray	Female	Sirius	Chronos	16677907	26/11/1980	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	120	35	42	Garamond #093585	Cassandra Lee Morris/Ayana Taketatsu	Likes to trash about	ENFP	Exploration, Chronos, Humans	Samael, Betelgeuse, Fainting		79	120	79	100	79	80		Electric	Normal	Brave	United Scarf: Enhanced Coalition Scarf that boosts team attacks.				Blast Control: Damage the team takes from explosions is reduced. 				
Shinx Luxio Luxray	Male			49687393	30/01/1973																								Dark	Modest					Forge a Path: Consumes Belly to break down walls.				
Shroomish Breloom	Male			77646414	17/02/1981																								Flying	Lax					XP Boost: Grants additional XP to the team when a foe is defeated.				
Skarmory	Male			90251952	10/10/2004																								Ground	Bashful					Link Boost: The power of linked moves is boosted.				
Skitty Delcatty	Female	Mocha	Otonanou	50828121	08/03/2002	WOD, Japan, Kyushu, Nagasaki	Classified Package Delivery	Hetero	Sub	Bottom	99	27	40	Vibur #f80ea7	Ari Ozawa/Bonnie Gordon	Highly curious	INFP	Sex, Her Job, Sleeping	Fighting, Milk, Doreikun		70	70	70	96	69	88		Normal	Ice	Gentle					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.				
Skitty Delcatty	Female	Eve	Eden	40918855	11/04/1977	WOL, Air Continent	Eden Vice-Leader	Hetero	Switch	Bottom	109	31	32	Cambria #d5c496	Erica Mendez/Mariko Nagai	Nods off a lot	INTJ	Rescue Teams, Starters, Adam	Being told what to do		155	75	75	55	55	95		Normal Fairy	Normal	Lonely	Glory Band: Enhanced Twist Band that prevents all stats from lowering.				Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.				
Sneasel Weavile	Female			84435224	26/09/2007																								Grass	Brave					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.				
Snivy Servine Serperior	Female	Nirvana	Moksha	11647112	17/12/1995	WOD, France, Sarthe, Le Mans	Student at Académie de Nantes	Hetero	Sub	Switch	363	77	128	Adamantium #10bd4d	Hellena Taylor/Aya Hisakawa	Very finicky	ISFJ	Scarves. Giratinas, Dubstep	Human Weapons, Bullying, Pretzels	Black backside, stripes glow green, magenta eyes, pale green belly.	75	75	95	113	95	75	37	Grass Dragon	Fire	Careful	Griseous Pendant: A necklace with a Griesous Orb shard as trinket, heals status conditions in 1 turn ~ Soccermom Scarf: It's a scarf.	Tera Drain: (75/SA/Grass) 75% health drain ~ Leaf Storm: (130/SA/Grass) -2 SA ~ Substitute: (Normal) Takes 1/4 HP to place a Substitute ~ Hidden Power: (70/SA/???)		Devil's Advocate: Stat changes have an opposite effect.	Link Boost: The power of linked moves is boosted.	Fallout: Any foe hit by Nirvana is poisoned, and cannot heal from poison.	Fallout and Devil's Advocate turns Nirvana into an untankable, radioactive menace.	Slow and frail, weak against other sweepers.	Roommates: Matilde Quemar, Cefca Pagliaccio, Flaros Overfield
Snivy Servine Serperior	Female	Tsutami	Tengoku	19246558	10/07/2005	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Sub	Bottom	321	64	107	Libertinus Sans #67eb3a	Kayli Mills/Aki Toyosaki	Impetuous and silly	ENFJ	Dairou, Post Town, Tengoku	Teams that don't help other Teams	Red eyes, more vibrant colors, shell behind her neck.	75	75	100	75	95	110	70	Grass	Poison	Quirky	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Miracle Seed: Boosts Grass moves	Hurricane Blade: (25/AT/Grass) Hits 3 to 5 times ~ Safeguard: (Normal) Prevents conditions for 5 turns ~ Leaf Tornado (70/SA/Grass) 50% -1 AC to foe  ~ Leech Seed: (Grass) Drains 1/8 HP every turn	Taiyouken (400/SA/Steel) 1 turn charge, +1 Priority	Overgrow: Boosts Grass moves in a pinch	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.		Training with the Hurricane Blade gives her an edge in the offensive.	Not very effective without Dairou.	Husband: Dairou Tengoku ~ Son: Tsutarou Tengoku
Snivy Servine Serperior	Male	Tsutarou	Tengoku	84561931	11/09/2020	WOL, Mist Continent	Evolution Researcher	Bi	Dom	Switch	372	79	88	Libertinus Math #058005	Edward Bosco/Tatsuhisa Suzuki	Quick to flee	ESFJ	Studying, Traveling, Writing	Evolving Too Fast, His Voice, Violence		75	75	90	75	90	130		Grass	Ice	Mild	Pass Orb (85): Mysterious orbs that contain Pass Power, altering luck.				Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Solgaleo	Male	Lailona	Houkuu	70104609	02/12/2009	WOL, Mystery Continent	Ultra Wormhole Guard	Hetero	Dom	Top	365	210	82	Rockwell #e8940f	Richard Epcar/Hidenari Ugaki	Takes plenty of siestas	ISTJ	Behemoth, Days, Cavum	Peahina, Space, Ultra Beasts		137	137	107	117	87	97		Psychic Steel Fire	Water	Lonely	N-Lunarizer: A machine to separate a Necrozma from a Lunala.				Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Squirtle Wartortle Blastoise	Male			16590598	21/06/2000																								Dark	Jolly					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
Starly Staravia Staraptor	Female			46517701	13/08/1980																								Grass	Mild					XP Boost: Grants additional XP to the team when a foe is defeated.				
Taillow Swellow	Male			52274829	10/06/2002																								Fairy	Quiet					Steamroll: Ignores types and abilities lowering a move's damage.				
Tepig Pignite Emboar	Male	Susanoo	Tengoku	19152291	19/09/2003	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Dom	Switch	153	155	81	Libertinus Mono #b8470f	Reuben Langdon/Yuji Kishi	Proud of its power	INFJ	Dairou, Tsutami, Susanoo	Dairou, Tsutami, Susanoo		110	120	70	100	70	60		Fire	Bug	Bashful	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Charcoal: Boosts Fire moves				Steamroll: Ignores types and abilities lowering a move's damage.				
Terrakion	Male			81530416	21/07/1988																								Electric	Quiet					Forge a Path: Consumes Belly to break down walls.				
Timburr	Male			63189135	30/07/1987																								Electric	Brave					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Togepi Togetic Togekiss	Male			66537143	13/11/1985																								Dragon	Serious					Army Of Two: If there's only one teammate, that teammate gets a big stat boost.				
Torchic Combusken Blaziken	Female			81863175	20/10/1994																								Flying	Naive					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Totodile Croconaw Feraligatr	Male			79066780	04/11/2001																								Water	Mild					Recoil Boost: Moves that recoil do 2X damage.				
Trapinch Vibrava Flygon	Male	Doreikun	Furai	88855548	24/01/2005	WOL, Fire Continent	Unclassified Package Delivery	Homo	Sub	Bottom	162	60	18	Base Nine #79ee07	Paul Dobson/Hiroyuki Yoshino	Highly curious	ISFP	Sex, His Job, Flying	Bullying, Sand, Mocha		85	95	85	95	85	95		Ground Dragon Bug	Steel	Sassy	Choice Specs: Boosts SA, but only allows one move.				Notorious Restoration: Items restore more HP and Belly.				
Treecko Grovyle Sceptile	Male			38904369	08/11/1999																								Fairy	Serious					Squeeze Out: The whole team can squeeze extra PP once per battle.				
Tropius	Male			13527299	23/05/1996																								Bug	Gentle					Enlightened: Teammates can use Enlightenments immediately.				
Tynamo Eelektrik Eelektross	Male			60798422	29/09/1974																								Fighting	Docile					Synced Breathing: Teammates Crit more often the bigger the team is.				
TypeNull Silvally	Female			13292077	22/10/2006																								Dark	Jolly					Notorious Healing: The rate at which HP restores naturally is sped up. 				
TypeNull Silvally	Male	Midas	Theos	48337903	02/08/2007	WOL, Mystery Continent	Astronomer	Bi	Switch	Switch	251	100	102	Elephant #969696	Keith Silverstein/Toru Okawa	Highly curious	ISTJ	Space, Seikon, Sheng	Being Doubted, Failing Research, Losing Documents		95	95	95	95	95	95		Normal	Ghost	Rash	Drive Bag: Holds all RKS Memories.				Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Turtwig Grotle Torterra	Male			29459080	03/05/1990																								Ground	Brave					Squeeze Out: The whole team can squeeze extra PP once per battle.				
Venipede Whirlipede Scolipede	Male			60174185	31/12/1970																								Fighting	Adamant					Food Finder: Tiny Apples spawn much more often.				
Victini	Male			52796440	12/05/1996																								Fire	Bashful					Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 				
Victini	Female			49491614	27/08/1981																								Dragon	Rash					Machine Learning: Teammates have max IQ.				
Virizion	Female			12253320	04/05/1973																								Dark	Lonely					Food Finder: Tiny Apples spawn much more often.				
Vulpix Ninetales (Alola)	Female	Betelgeuse	Chronos	86184529	11/09/1990	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	104	19	35	Challenge #69b7e0	Erica Lindbeck/Sakura Momoka	Likes to run	ESFP	Seikon, Nezumi, Reading	Curses, Puns, Codd		73	66	73	83	103	127		Ice Fairy	Fire	Careful	United Scarf: Enhanced Coalition Scarf that boosts team attacks.				Evasive Rhythm: The team can dodge multi hit attacks much easier.				
Vulpix Ninetales	Male	Seikon	Tsukitsune	15323773	??/??/????	WOL, Mystery Continent	Shrine Guardian	Hetero	Dom	Top	143	22	42	Ingrid #e0c369	Mike Debonis/Go Shinomiya	Somewhat vain	ENTP	Midas, Eeveelutions, Vulpix	Death, Gunpowder, Legendaries	Red kitsune patterns on his face, tails, and hair.	91	81	81	81	120	107	93	Fire Ghost	Ice	Gentle	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Eevee Beads: Praying beads with each of the evolutionary stones attached: Fire, Water, Thunder, Leaf, Ice, Moon, Sun, Shiny, Dusk, and Dawn. Can evolve and devolve any Eevee or Eeveelution.	Overheat: (130/SA/Fire) -2 SA ~ Will O' Wisp (Fire) Causes Burn ~ Shadow Claw (70/AT/Ghost) +1 Crit chance ~ Hidden Power: (70/SA/???)	Miracle (Fairy) Fully revives a fainted ally.	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Taiyou: Team is immune to Curse, Grudge, and Perish Song.	None	Can take quite a beating, and get back up in an instant. Seems to defy calamity.	Not a great fighter, physically and mentally.	
Wimpod Golisopod	Male			62273362	30/04/2005																								Bug	Gentle					Funnel Fun: Corridors restore HP faster.				
Wooper Quagsire	Male			97441247	24/10/1991																								Ghost	Relaxed					Wary Walk: The whole Team is immune to traps.				
Xerneas	Female	Xenocrates	Edda	79819002	31/12/1951	WOL, Mystery Continent	Death Cocoon Guard	Hetero	Switch	Switch	332	196	153	Xaligraphy #2229bf	Jeannie Tirado/Misono Mei	Proud of its power	ENTP	Yggdrasil, Sex, Her Antlers	Yggdrasil's Wings, Fighting, Zephyr		126	131	96	131	99	96		Fairy Grass	Psychic	Quirky	Life Herb: Completes a two turn move in one turn.				Riled Up: Boosts AT and SA once when hit by an enemy.				
Yveltal	Male	Yggdrasil	Edda	73279005	28/06/1964	WOL, Mystery Continent	Life Tree Guard	Hetero	Switch	Switch	594	190	188	Ysgarth #f01610	Christopher Bevins/Daisuke Egawa	Quick tempered	INFJ	Xenocrates, Fighting, His Wings	Xenocrates's Antlers, Sex, Zephyr		126	131	99	131	96	96		Dark Flying	Ice	Mild	Death Orb: Drains HP to power up moves.				Stimulation: All stats are boosted when Belly is above half capacity, but it drains faster.				
Zangoose	Male			58458566	01/10/1995																								Poison	Quiet					Brawl: Teammates get a bit stronger when there are many foes.				
Zekrom	Male	Kuro	Ryuuniki	33482560	25/11/1955	WOL, Mystery Continent	Mystery Continent Guard	Hetero	Dom	Top	319	358	120	Benguiat Serif #363740	Jess Merlin/Shigeru Chiba	Likes to fight	ESFJ	Humans, Shiro, Puzzles	Organizations, Lies, Warmongers		100	150	120	120	100	90		Dragon Electric	Dragon	Bashful	Focus Sash: Resists OHKO's with 1HP left.				Yin: Doubles nearby Reshiram's speed				
Zeraora	Male	Codd	Branford	36010777	22/09/1990	WOD, USA, Washington, Seattle	President of Nuricom Alliance	Hetero	Dom	Switch	184	84	44	Maximise #0ebcf6	Matthew Mercer/Yuichi Nakamura	Likes to trash about	ESTP	Pokemon, Science, The Universe	Violence, Conspiracies, Control	Black fur is white, yellow fur is black, no lightning stripes.	128	256	128	4	128	256	100	Electric Fighting Steel	Dragon	Adamant	Nurichaku Chaincoil: Human-engineered Nunchucks with Tesla coils on each end. x2 AT in exchange of 1 HP per successful move. ~ Nurigou Magnetar: A compressed Neutron Star Piece. Immune to Trick Room, and Ground/Rock type moves. ~ Nurimitsu Goudachi: Replaces a move with any Slash move.	Alternator: (100/AT/???) Hits ? times, -1 AT. If it Crits, charges One Inch Punch instead ~ Fumetsu (Parry/???) +1 AT if hit ~ One Inch Punch (999/AT/???) 1 turn charge, cannot Crit ~ Stun Gun Kiai (300/AT/???) Causes paralysis, 1 turn recharge	The Tempest (1/SA/Electric) 1 turn charge, stops time for 10 turns. Paralyses user at the end.	Jeet Kune Do: Can switch move type between Electric, FIghting, and Steel. "Be water, my friend."	Overclocking: Team boosts SP if hit. If Codd is hit by teammates, they transfer any Speed boost to him.	Way Of The Dragon: Only activates when a Non-Pokemon defeats Codd. Revives with Full HP, all moves cause Paralysis, AC and EV are maxed out.	The Power of Pokemon with the Knowledge of Humanity, Codd achieved spiritual and physical Enlightenment, uses his entire body and electric reserves in every single strike, and never seems to feel the slightest hint of exhaustion.	Biggest pushover in the entire galaxy.	Wife: Sheng Zhandou
Zigzagoon Linoone	Male			44511828	24/09/1982																								Bug	Bold					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.				
Zorua Zoroark	Male	Ryan	Cross	15049826	14/07/2008	WOD, USA, California, Sacramento	Vehicle and Transport Management	Bi	Sub	Top	170	75	41	Univers #760404	David Schaufele/Daisuke Namikawa	Often lost in thought	INTP	Vehicles, Music, Being Alone	Himself, Extroverts, Bullying		60	100	60	120	60	100		Dark	Normal	Hasty	Sona Powerplant: Immune to damage during Illusion.				Recoil Boost: Moves that recoil do 2X damage.				
Zorua Zoroark	Female			20508247	06/03/2005																								Water	Lax					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.				
Zygarde	Unknown	Zephyr	Edda	93030940	18/03/1940	WOL, Mystery Continent	Unknown	Unknown	Unknown	Unknown	587	814	Unknown	Zepplin #056b36	Marc Swint/Takashi Matsuyama	Likes to relax	ISFJ	Unknown	Unknown		???	100	121	91	95	95		Dragon Ground	Flying	Adamant	Carbon Cells (6): Triggers 100% Form immediately, single use.				Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
